"","date","Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais","Agricultura, pecuária, produção florestal, pesca e aquicultura","Alojamento e alimentação","Comércio, reparação de veículos automotores e motocicletas","Construção","Indústria geral","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas","Outro serviço","Serviço doméstico","Total","Transporte, armazenagem e correio"
"1",2012-03-01,13862,10147,3834,16601,7174,13075,9501,3758,5954,88011,4067
"2",2012-04-01,14107,10248,3850,16671,7279,13290,9562,3747,5948,88846,4101
"3",2012-05-01,14273,10352,3869,16777,7444,13312,9460,3720,5999,89379,4132
"4",2012-06-01,14389,10415,3850,16758,7553,13341,9413,3765,5999,89647,4120
"5",2012-07-01,14483,10424,3832,16755,7678,13281,9385,3776,5991,89786,4147
"6",2012-08-01,14592,10413,3795,16817,7766,13210,9543,3832,5995,90085,4091
"7",2012-09-01,14589,10243,3749,16723,7792,13329,9743,3971,5990,90320,4162
"8",2012-10-01,14557,10090,3781,16804,7887,13346,9810,3998,5956,90467,4208
"9",2012-11-01,14445,10023,3790,16955,7950,13368,9733,3979,5963,90555,4327
"10",2012-12-01,14257,10099,3919,17151,7975,13328,9658,3872,5995,90593,4325
"11",2013-01-01,13991,10117,3928,17145,7943,13234,9701,3928,6000,90284,4287
"12",2013-02-01,13911,9988,3949,17157,7755,13180,9746,3973,5957,89900,4278
"13",2013-03-01,13937,9848,3907,17079,7772,13192,9750,3993,5925,89688,4279
"14",2013-04-01,14148,9857,3891,17017,7901,13217,9809,4033,5935,90087,4269
"15",2013-05-01,14219,10025,3878,17093,7978,13299,9793,3991,5936,90545,4323
"16",2013-06-01,14389,10130,3892,17148,7976,13256,9895,3984,5824,90849,4345
"17",2013-07-01,14487,10207,3943,17340,7946,13111,9911,3980,5816,91103,4352
"18",2013-08-01,14534,10167,3989,17414,8047,13015,9937,4040,5733,91232,4345
"19",2013-09-01,14539,10109,4055,17492,8190,13030,9865,4073,5807,91438,4264
"20",2013-10-01,14575,10019,4109,17524,8217,13163,9812,4071,5806,91606,4296
"21",2013-11-01,14550,10139,4180,17609,8258,13118,9909,4095,5851,92000,4273
"22",2013-12-01,14527,10198,4230,17781,8295,13119,9811,4103,5835,92170,4256
"23",2014-01-01,14394,10083,4235,17774,8292,13138,9783,4117,5816,91870,4218
"24",2014-02-01,14427,9804,4303,17715,8237,13282,9784,4140,5808,91699,4184
"25",2014-03-01,14506,9510,4281,17712,8215,13218,9888,4132,5775,91456,4199
"26",2014-04-01,14764,9472,4234,17662,8230,13255,9913,4145,5780,91698,4223
"27",2014-05-01,14845,9572,4153,17606,8095,13278,10091,4142,5794,91892,4295
"28",2014-06-01,14824,9617,4149,17603,7963,13365,10312,4139,5849,92118,4277
"29",2014-07-01,14781,9613,4119,17526,7707,13500,10601,4112,5851,92056,4234
"30",2014-08-01,14835,9498,4172,17453,7688,13636,10608,4189,5801,92056,4165
"31",2014-09-01,14869,9434,4224,17439,7753,13620,10762,4288,5830,92407,4175
"32",2014-10-01,14967,9340,4257,17513,7876,13649,10667,4364,5832,92692,4211
"33",2014-11-01,15053,9297,4255,17664,7930,13628,10658,4271,5835,92878,4267
"34",2014-12-01,15061,9246,4326,17755,7954,13658,10605,4223,5807,92962,4305
"35",2015-01-01,14872,9327,4380,17851,7899,13527,10556,4190,5826,92743,4300
"36",2015-02-01,14705,9303,4373,17716,7866,13432,10529,4190,5862,92308,4318
"37",2015-03-01,14650,9350,4335,17619,7796,13470,10412,4151,5842,91962,4330
"38",2015-04-01,14815,9327,4373,17663,7602,13498,10578,4165,5810,92174,4337
"39",2015-05-01,14880,9306,4361,17671,7465,13412,10732,4198,5804,92147,4315
"40",2015-06-01,14961,9377,4341,17765,7306,13339,10844,4170,5822,92249,4313
"41",2015-07-01,14964,9389,4358,17697,7358,13244,10819,4189,5869,92231,4334
"42",2015-08-01,15026,9352,4364,17711,7493,13170,10683,4185,5862,92173,4315
"43",2015-09-01,15149,9295,4347,17799,7469,13118,10640,4228,5846,92201,4303
"44",2015-10-01,15340,9220,4439,17887,7727,12917,10254,4188,6017,92386,4388
"45",2015-11-01,15380,9174,4463,17853,7920,12799,9976,4131,6135,92287,4440
"46",2015-12-01,15384,9169,4603,17936,8098,12581,9637,4176,6220,92366,4539
"47",2016-01-01,15216,9187,4548,17895,8003,12397,9685,4197,6164,91803,4493
"48",2016-02-01,15066,9344,4574,17850,7848,12033,9717,4197,6122,91304,4538
"49",2016-03-01,15040,9317,4524,17662,7704,11921,9729,4170,6123,90708,4510
"50",2016-04-01,15199,9248,4548,17560,7573,11851,9743,4147,6120,90549,4552
"51",2016-05-01,15248,9182,4556,17564,7601,11911,9769,4147,6182,90708,4540
"52",2016-06-01,15422,9230,4531,17565,7538,11824,9738,4158,6146,90673,4518
"53",2016-07-01,15355,9192,4519,17472,7474,11786,9731,4187,6084,90327,4524
"54",2016-08-01,15581,9080,4621,17404,7331,11686,9686,4174,6018,90080,4494
"55",2016-09-01,15478,8856,4716,17252,7254,11746,9638,4335,6022,89821,4517
"56",2016-10-01,15575,8746,4779,17407,7188,11705,9653,4334,6028,89884,4461
"57",2016-11-01,15473,8748,4809,17614,7183,11710,9683,4414,5967,90149,4541
"58",2016-12-01,15222,8764,4843,17814,7204,11580,9789,4326,5995,90174,4632
"59",2017-01-01,14880,8760,4936,17798,7211,11432,9857,4331,5936,89746,4597
"60",2017-02-01,14748,8665,4964,17577,7079,11477,9898,4296,5920,89240,4609
"61",2017-03-01,14743,8531,4993,17366,6966,11545,10001,4252,5912,88846,4523
"62",2017-04-01,14845,8553,5064,17337,6914,11646,9898,4328,5959,89160,4600
"63",2017-05-01,15047,8529,5114,17435,6800,11833,9888,4417,5989,89623,4553
