"","date","Conta própria","Conta própria com CNPJ","Conta própria sem CNPJ","Empregado","Empregado no setor privado, exclusive trabalhador doméstico","Empregado sem Carteira","Empregado com Carteira","Empregado no setor público","Empregado no setor público - militar e funcionário público estatutário","Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada","Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada","Empregador","Empregador com CNPJ","Empregador sem CNPJ","Total","Trabalhador doméstico","Trabalhador doméstico - com carteira de trabalho assinada","Trabalhador doméstico - sem carteira de trabalho assinada","Trabalhador familiar auxiliar"
"1",2012-03-01,20174,NA,NA,62104,45383,34262,11122,10767,7257,1451,2059,3388,NA,NA,88011,5954,1892,4062,2346
"2",2012-04-01,20205,NA,NA,62586,45755,34574,11180,10884,7349,1437,2098,3492,NA,NA,88846,5948,1884,4064,2562
"3",2012-05-01,20165,NA,NA,62928,46003,34759,11244,10925,7396,1435,2095,3505,NA,NA,89379,5999,1892,4107,2781
"4",2012-06-01,19930,NA,NA,63300,46269,35004,11265,11031,7413,1463,2155,3495,NA,NA,89647,5999,1879,4120,2922
"5",2012-07-01,19843,NA,NA,63523,46413,35120,11293,11119,7491,1417,2211,3502,NA,NA,89786,5991,1866,4125,2918
"6",2012-08-01,19837,NA,NA,63818,46618,35296,11322,11205,7520,1425,2260,3535,NA,NA,90085,5995,1868,4127,2896
"7",2012-09-01,19883,NA,NA,64058,46909,35477,11432,11159,7569,1367,2223,3540,NA,NA,90320,5990,1868,4122,2839
"8",2012-10-01,20020,NA,NA,64140,47057,35626,11431,11127,7523,1378,2226,3543,NA,NA,90467,5956,1851,4105,2763
"9",2012-11-01,20120,NA,NA,64055,47053,35669,11384,11040,7519,1335,2185,3604,NA,NA,90555,5963,1855,4107,2776
"10",2012-12-01,20228,NA,NA,63932,47033,35880,11153,10904,7423,1367,2113,3632,NA,NA,90593,5995,1874,4120,2801
"11",2013-01-01,20176,NA,NA,63692,47002,35945,11057,10690,7374,1359,1957,3628,NA,NA,90284,6000,1893,4107,2788
"12",2013-02-01,20018,NA,NA,63528,46949,35931,11018,10622,7312,1388,1922,3611,NA,NA,89900,5957,1883,4075,2744
"13",2013-03-01,20083,NA,NA,63263,46680,35645,11035,10658,7385,1356,1918,3606,NA,NA,89688,5925,1877,4048,2736
"14",2013-04-01,20150,NA,NA,63520,46724,35706,11017,10861,7419,1397,2044,3662,NA,NA,90087,5935,1864,4072,2756
"15",2013-05-01,20355,NA,NA,63793,46949,35943,11007,10908,7428,1373,2106,3619,NA,NA,90545,5936,1842,4093,2779
"16",2013-06-01,20421,NA,NA,63983,47111,36059,11052,11048,7482,1377,2189,3672,NA,NA,90849,5824,1791,4034,2774
"17",2013-07-01,20512,NA,NA,64171,47259,36290,10969,11095,7551,1334,2210,3688,NA,NA,91103,5816,1773,4043,2733
"18",2013-08-01,20522,NA,NA,64358,47498,36400,11098,11127,7556,1340,2231,3684,NA,NA,91232,5733,1743,3990,2668
"19",2013-09-01,20587,NA,NA,64571,47674,36571,11104,11090,7544,1314,2232,3653,NA,NA,91438,5807,1741,4066,2627
"20",2013-10-01,20543,NA,NA,64753,47854,36819,11036,11093,7485,1337,2271,3689,NA,NA,91606,5806,1744,4062,2620
"21",2013-11-01,20661,NA,NA,64906,47966,36959,11007,11089,7510,1311,2268,3762,NA,NA,92000,5851,1795,4055,2671
"22",2013-12-01,20885,NA,NA,64807,47977,37062,10915,10994,7439,1307,2248,3738,NA,NA,92170,5835,1819,4017,2741
"23",2014-01-01,20921,NA,NA,64558,47878,37067,10810,10865,7452,1278,2136,3657,NA,NA,91870,5815,1842,3974,2734
"24",2014-02-01,20813,NA,NA,64541,47895,37226,10668,10839,7496,1273,2070,3634,NA,NA,91699,5807,1817,3990,2712
"25",2014-03-01,20533,NA,NA,64689,47959,37333,10626,10956,7580,1295,2081,3651,NA,NA,91456,5774,1817,3957,2583
"26",2014-04-01,20494,NA,NA,65003,48103,37539,10564,11121,7635,1307,2179,3632,NA,NA,91698,5780,1827,3953,2568
"27",2014-05-01,20669,NA,NA,65086,48096,37563,10532,11196,7662,1314,2221,3602,NA,NA,91892,5794,1844,3950,2535
"28",2014-06-01,20656,NA,NA,65222,48242,37765,10477,11132,7632,1279,2221,3650,NA,NA,92118,5849,1852,3997,2589
"29",2014-07-01,20800,NA,NA,65065,48025,37594,10431,11190,7660,1298,2232,3623,NA,NA,92056,5850,1869,3982,2568
"30",2014-08-01,20790,NA,NA,64996,47928,37555,10372,11269,7698,1294,2276,3699,NA,NA,92056,5800,1864,3936,2571
"31",2014-09-01,21031,NA,NA,65174,48019,37601,10419,11327,7680,1331,2316,3678,NA,NA,92407,5827,1861,3967,2523
"32",2014-10-01,21114,NA,NA,65337,48089,37518,10571,11421,7732,1348,2340,3752,NA,NA,92692,5827,1871,3956,2489
"33",2014-11-01,21184,NA,NA,65419,48198,37562,10636,11391,7719,1324,2348,3810,NA,NA,92878,5830,1872,3958,2465
"34",2014-12-01,21283,NA,NA,65316,48187,37529,10658,11329,7685,1356,2288,3845,NA,NA,92962,5800,1854,3946,2517
"35",2015-01-01,21248,NA,NA,65074,48107,37542,10565,11147,7620,1342,2185,3846,NA,NA,92743,5820,1830,3990,2575
"36",2015-02-01,21224,NA,NA,64596,47679,37288,10391,11061,7597,1355,2110,3871,NA,NA,92308,5856,1860,3996,2617
"37",2015-03-01,21244,NA,NA,64137,47269,37051,10218,11031,7608,1312,2111,3966,NA,NA,91962,5837,1871,3967,2615
"38",2015-04-01,21404,NA,NA,64223,47259,37068,10191,11159,7691,1296,2172,3932,NA,NA,92174,5806,1875,3931,2614
"39",2015-05-01,21521,NA,NA,64165,47227,36979,10248,11138,7685,1254,2199,3867,NA,NA,92147,5800,1851,3949,2594
"40",2015-06-01,21562,NA,NA,64152,47175,36926,10249,11156,7664,1252,2239,3894,NA,NA,92249,5821,1848,3973,2641
"41",2015-07-01,21612,NA,NA,64046,46986,36746,10241,11191,7667,1233,2291,3915,NA,NA,92231,5869,1847,4021,2657
"42",2015-08-01,21641,NA,NA,63932,46809,36546,10264,11261,7671,1265,2324,3964,NA,NA,92173,5861,1840,4022,2636
"43",2015-09-01,21726,NA,NA,63923,46810,36456,10354,11271,7678,1255,2338,3969,NA,NA,92201,5842,1826,4016,2582
"44",2015-10-01,21962,NA,NA,63984,46780,36404,10376,11236,7643,1255,2338,3959,NA,NA,92386,5968,1888,4080,2481
"45",2015-11-01,22119,NA,NA,63893,46730,36455,10276,11116,7568,1237,2311,3923,NA,NA,92287,6047,1952,4095,2353
"46",2015-12-01,22420,4278,18142,63793,46632,36422,10210,11056,7574,1225,2257,3887,3224,663,92366,6105,2024,4081,2265
"47",2016-01-01,22637,4422,18215,63162,46155,36199,9956,10936,7613,1220,2103,3785,3159,625,91803,6071,2083,3988,2220
"48",2016-02-01,22814,4542,18272,62600,45772,35887,9886,10780,7589,1172,2019,3696,3081,615,91304,6048,2093,3955,2194
