"","date","populacao","inativos","pia","pea","pnea","ocupada","desocupada","desemprego","participacao"
"1",2012-03-01,197074,43473,153601,95664,57937,88011,7653,7.99987456096337,62.2808445257518
"2",2012-04-01,197217,43426,153791,96380,57411,88846,7534,7.81697447603237,62.6694670039209
"3",2012-05-01,197359,43372,153987,96823,57164,89379,7444,7.68825588961301,62.8773857533428
"4",2012-06-01,197502,43322,154180,97010,57169,89647,7363,7.58993918152768,62.919963678817
"5",2012-07-01,197645,43270,154375,97076,57299,89786,7290,7.50958012279039,62.8832388663968
"6",2012-08-01,197788,43222,154566,97247,57319,90085,7162,7.36475161187492,62.9161652627357
"7",2012-09-01,197931,43173,154758,97261,57496,90320,6942,7.13749601587481,62.8471549128316
"8",2012-10-01,198074,43125,154949,97233,57716,90467,6767,6.95957133894871,62.7516150475318
"9",2012-11-01,198217,43079,155138,97187,57952,90555,6632,6.82395793676109,62.6455156054609
"10",2012-12-01,198360,43030,155330,97322,58007,90593,6730,6.91518875485502,62.6549925964076
"11",2013-01-01,198503,42984,155519,97359,58160,90284,7075,7.26691933976315,62.6026401918737
"12",2013-02-01,198646,42936,155710,97488,58222,89900,7588,7.78352207451174,62.6086956521739
"13",2013-03-01,198789,42887,155902,97554,58348,89688,7866,8.06322652069623,62.5739246449693
"14",2013-04-01,198932,42847,156085,97847,58239,90087,7760,7.93074902654144,62.6882788224365
"15",2013-05-01,199075,42798,156277,98065,58212,90545,7520,7.6683832152144,62.7507566692476
"16",2013-06-01,199217,42751,156466,98242,58224,90849,7393,7.52529468048289,62.7880817557808
"17",2013-07-01,199360,42703,156657,98363,58294,91103,7260,7.38082409035918,62.7887678175887
"18",2013-08-01,199503,42661,156842,98311,58531,91232,7079,7.20061844554526,62.6815521352699
"19",2013-09-01,199646,42623,157023,98354,58669,91438,6916,7.03174248124123,62.636683797915
"20",2013-10-01,199789,42585,157204,98283,58922,91606,6677,6.79364691757476,62.5194015419455
"21",2013-11-01,199931,42547,157384,98465,58919,92000,6465,6.56578479662824,62.563538860367
"22",2013-12-01,200074,42509,157565,98321,59244,92170,6151,6.2560388930137,62.4002792498334
"23",2014-01-01,200217,42473,157744,98233,59511,91870,6363,6.47745665916749,62.2736839436048
"24",2014-02-01,200359,42434,157925,98416,59509,91699,6717,6.82510973825394,62.3181890137724
"25",2014-03-01,200502,42395,158107,98597,59509,91456,7141,7.24261387263304,62.3609327860247
"26",2014-04-01,200645,42364,158281,98832,59449,91698,7134,7.21830985915493,62.4408488700476
"27",2014-05-01,200787,42325,158462,98864,59598,91892,6972,7.05211199223175,62.3897211949868
"28",2014-06-01,200929,42288,158641,98979,59662,92118,6861,6.93177340648016,62.3918154827567
"29",2014-07-01,201072,42250,158822,98970,59852,92056,6914,6.98595534000202,62.3150445152435
"30",2014-08-01,201214,42217,158997,98966,60030,92056,6910,6.98219590566457,62.243941709592
